model,manufacturer,prodYear,price,engineVolume,mileage
Camry,TOYOTA,2014,25716,2.5,115200 km
Orlando,CHEVROLET,2012,14426,2,132036 km
RAV 4,TOYOTA,2001,10820,2,91000 km
Explorer,FORD,2011,45436,3.5,129177 km
I30,HYUNDAI,2008,11917,1.6,201000 km
Santa FE,HYUNDAI,2015,41281,2,185811 km
Altima,NISSAN,1998,4391,2.4,358400 km
Cayenne,PORSCHE,2018,3058,3.6,28968 km
147,ALFA ROMEO,2001,3700,1.8,240000 km
Grand Vitara,SUZUKI,2008,15681,1.6,98000 km
CT 200h,LEXUS,2011,6586,1.8,122302 km
Prius,TOYOTA,2007,12544,1.5,140000 km
Tucson,HYUNDAI,2014,30063,2,120000 km
Panamera,PORSCHE,2010,72130,4.8,196800 km
Veloster,HYUNDAI,2015,21639,1.6,17200 km
RAV 4 XLE Sport,TOYOTA,2013,36692,2.5,120000 km
FIT,HONDA,2002,30,1.5,0 km
Aqua,TOYOTA,2014,12231,1.5,66000 km
Sienta,TOYOTA,2004,3136,1.5,300000 km
Prius,TOYOTA,2009,10663,1.8,230000 km
FIT,HONDA,2013,5620,1.3,110467 km
CLS 550,MERCEDES-BENZ,2010,19130,5.5,157000 km
FIT,HONDA,2012,9408,1.3,64000 km
Elantra,HYUNDAI,2011,3,1.8,80000 km
Passat,VOLKSWAGEN,2013,15367,2.0 Turbo,179200 km
Avalanche,CHEVROLET,2011,5959,5.3,246976 km
H1,HYUNDAI,2014,26594,2.5,179918 km
Avalon LIMITED,TOYOTA,2013,36065,2.5,92200 km
Cerato K3,KIA,2016,26343,1.6 Turbo,29000 km
CX-7,MAZDA,2011,549,2.5,216550 km
Grand Cherokee,JEEP,1993,6000,4,240000 km
GX 470,LEXUS,2010,40142,4.6,357246 km
Elantra,HYUNDAI,2013,14000,1.8,50000 km
Cruze,CHEVROLET,2014,17923,1.4,127842 km
Tucson,HYUNDAI,2017,54518,1.6,40193 km
Astra G,OPEL,2003,10349,1.6,180000 km
Ist,TOYOTA,2002,8154,1.3,115000 km
Escape,FORD,2008,282,0.4,220474 km
Passat,VOLKSWAGEN,2013,7527,2,132310 km
Camry,TOYOTA,2017,3450,2.5,60762 km
Tucson,HYUNDAI,2010,22063,2,142264 km
Civic,HONDA,2012,2901,1.5,146403 km
Corolla,TOYOTA,2013,4704,1.8,227371 km
Passat,VOLKSWAGEN,2002,5331,2.8,175000 km
Jetta,VOLKSWAGEN,2012,941,2,203440 km
FIT,HONDA,2013,16900,1.5,70000 km
Rogue,NISSAN,2010,18189,2.5,122000 km
MPV,MAZDA,2000,5331,2.5,127000 km
GLA 250,MERCEDES-BENZ,2017,42651,2,44995 km
Prius,TOYOTA,2012,15524,1.8,122324 km
530,BMW,2007,17249,3,111111 km
GS 350,LEXUS,2013,73071,3.5,56000 km
Fusion,FORD,2014,862,2,186048 km
Elantra,HYUNDAI,2017,28909,1.6,98000 km
Sonata,HYUNDAI,2012,8467,2,573249 km
Aqua,TOYOTA,2013,50,1.5,130000 km
Sonata,HYUNDAI,2014,14426,2,169024 km
Sharan,VOLKSWAGEN,2011,9000,1.4,126000 km
E 350,MERCEDES-BENZ,2014,30734,3.5,200179 km
Camry,TOYOTA,2013,22580,2.5,156666 km
Volt,CHEVROLET,2014,862,1.4,133195 km
FIT,HONDA,2014,7464,1.3,114950 km
Fusion,FORD,2016,1333,2.5,154850 km
Tucson,HYUNDAI,2019,59865,1.6,13000 km
Tacoma,TOYOTA,2017,49237,2.7,94262 km
H1,HYUNDAI,2018,68223,2.5,27406 km
E 300,MERCEDES-BENZ,2017,392,2,1600 km
Tiida,NISSAN,2006,7683,1.8,200000 km
Fusion,FORD,2013,22266,1.6 Turbo,85500 km
E 350,MERCEDES-BENZ,2008,2430,3,175614 km
Fusion,FORD,2014,282,2,0 km
Juke,NISSAN,2015,392,1.6,85944 km
C 300,MERCEDES-BENZ,2015,33556,2,0 km
Actyon,SSANGYONG,2017,39161,1.6,73000 km
Transit,FORD,2008,16308,2.2,180000 km
Camry,TOYOTA,2009,17719,2.4,92000 km
GX 460,LEXUS,2011,43278,4.6,160138 km
Santa FE,HYUNDAI,2012,470,3.5,197923 km
Cruze,CHEVROLET,2017,20385,1.4 Turbo,42000 km
Tundra,TOYOTA,2016,941,4.6,254805 km
Tucson,HYUNDAI,2019,49858,2,48000 km
Elgrand,NISSAN,1998,8781,3.2 Turbo,230000 km
C 350,MERCEDES-BENZ,2013,220,3.5,159250 km
Sonata,HYUNDAI,2015,9722,2,582376 km
CLS 500,MERCEDES-BENZ,2006,21326,5,2000 km
Tucson,HYUNDAI,2017,51075,2,40800 km
Genesis,HYUNDAI,2011,15241,2,117492 km
Fusion,FORD,2015,2587,2,88795 km
H1,HYUNDAI,2008,15524,2.5,56769 km
C 250,MERCEDES-BENZ,2014,27911,1.8 Turbo,70000 km
Camry,TOYOTA,2013,4861,2.5,136861 km
S 350,MERCEDES-BENZ,2005,29793,3.5,263000 km
Elantra,HYUNDAI,2012,18208,1.6,95665 km
Sonata,HYUNDAI,2017,549,2,107387 km
Tiida,NISSAN,2006,30,1.5,0 km
RAV 4 Le,TOYOTA,2013,34497,2.5,65350 km
Zafira,OPEL,2000,6272,1.8,130000 km
Captiva,CHEVROLET,2007,4924,2,183923 km
Vectra b,OPEL,2000,4704,2.0 Turbo,11111 km
H1,HYUNDAI,2016,43576,2.5,97129 km
C 200,MERCEDES-BENZ,2001,7840,2,140000 km
CHR,TOYOTA,2018,28225,2,24000 km
Astra,OPEL,1992,700,1.1,0 km
323,MAZDA,1998,2352,1.5,300000 km
Cruze,CHEVROLET,2017,18817,1.4,29094 km
Fusion,FORD,2015,4861,2,148709 km
RX 450,LEXUS,2010,13172,3.5,186005 km
E 350 ამგ,MERCEDES-BENZ,2013,37320,3.5,156800 km
Escape,FORD,2017,706,2,251430 km
Camry,TOYOTA,2015,39201,2.5,35000 km
Elantra,HYUNDAI,2018,36426,1.6,35643 km
Civic,HONDA,2006,8467,1.8,250000 km
CLK 320,MERCEDES-BENZ,2000,7840,3.2,255000 km
Cr-v,HONDA,2015,12701,2.4,117158 km
Forester,SUBARU,2012,8154,2.5,281659 km
Avalon,TOYOTA,2015,46414,2.5,63645 km
ML 250,MERCEDES-BENZ,2015,45160,2.1,197338 km
330,BMW,2007,100,3,1123 km
A7 Prestige,AUDI,2016,100355,3.0 Turbo,35000 km
Colt Lancer,MITSUBISHI,2014,1176,2,136634 km
Elantra,HYUNDAI,2013,12231,1.8,77000 km
Prius,TOYOTA,2007,5802,1.5,140000 km
Sonata,HYUNDAI,2018,2901,2.4,45494 km
Prius,TOYOTA,2017,1882,1.8,47672 km
Pathfinder,NISSAN,2010,22894,4,109100 km
FIT,HONDA,2013,11290,1.3,145000 km
318,BMW,1997,6586,1.8,270000 km
Camry,TOYOTA,2006,14426,2.4,188800 km
Outlander,MITSUBISHI,2016,36065,2.4,39000 km
Camry SE,TOYOTA,2014,27284,2.5,52000 km
Forester,SUBARU,2016,21639,2.5,34000 km
I30,HYUNDAI,2009,7840,1.6,140000 km
E 200,MERCEDES-BENZ,1998,7840,2,180003 km
Escape,FORD,2008,282,0.4,220474 km
GLE 350,MERCEDES-BENZ,2016,1646,3,59099 km
Tucson,HYUNDAI,2013,24198,2,124000 km
FIT,HONDA,2013,25365,1.5,34682 km
Malibu,CHEVROLET,2014,1725,2.5,310061 km
TL,ACURA,2010,314,3.5,162453 km
Prius,TOYOTA,2012,17249,1.8,22400 km
E 350,MERCEDES-BENZ,2010,470,3.5,229904 km
Sonata,HYUNDAI,2014,31361,2.0 Turbo,62000 km
Elantra,HYUNDAI,2007,4704,1.6,54279 km
Cruze,CHEVROLET,2011,12720,1.8,135759 km
Tucson,HYUNDAI,2013,26372,2,120534 km
X5,BMW,2003,13485,3,189000 km
Elantra,HYUNDAI,2014,25591,1.6,140000 km
C 300,MERCEDES-BENZ,2010,6429,3,108517 km
RX 350,LEXUS,2016,251,3.5,107030 km
GX 460,LEXUS,2010,39829,4.6,155821 km
E 350,MERCEDES-BENZ,2011,13172,5.5,325811 km
CHR,TOYOTA,2019,627,2,24339 km
Lacetti,DAEWOO,2009,8097,1.6,130000 km
X5,BMW,2012,12388,3,420794 km
Sonata,HYUNDAI,2012,18503,2,280480 km
Insight,HONDA,2010,12231,1.3,150000 km
FIT,HONDA,2002,40,1.3,135000 km
H1,HYUNDAI,2011,17054,2.5,237853 km
Stream,HONDA,2001,5300,2,111000 km
Sonata,HYUNDAI,2015,9565,2,42000 km
Malibu,CHEVROLET,2015,24302,2,60618 km
Camry,TOYOTA,2009,18817,2.4,230400 km
Altima,NISSAN,2014,1960,2.5,127918 km
Sonata,HYUNDAI,2016,17249,2.4,77000 km
Sonata,HYUNDAI,2016,15530,2,280016 km
Sonata,HYUNDAI,2016,11290,2,270874 km
Prius,TOYOTA,2013,24148,1.8,118000 km
Sonata,HYUNDAI,2014,10036,2,362868 km
Elantra,HYUNDAI,2015,18817,1.8,85000 km
CT 200h,LEXUS,2014,10349,1.8,132563 km
RX 350,LEXUS,2010,549,3.5,138211 km
Sonata,HYUNDAI,2015,9252,2,391625 km
Tucson,HYUNDAI,2018,55823,1.7,38577 km
Camry,TOYOTA,2013,25089,2.5,132800 km
H1,HYUNDAI,2011,18669,2.5,52686 km
RX 450,LEXUS,2012,941,3.5,232357 km
Transit,FORD,2001,15053,2.4,253206 km
FIT,HONDA,2014,10660,1.5,76525 km
Tucson,HYUNDAI,2016,37000,2,80000 km
REXTON,SSANGYONG,2011,18826,2,186412 km
E 350,MERCEDES-BENZ,2011,14583,3.5,230696 km
Vito,MERCEDES-BENZ,2007,21012,2.2 Turbo,285000 km
I,MITSUBISHI,2011,5645,0.7,92000 km
Actyon,SSANGYONG,2010,18826,2,120000 km
Tucson,HYUNDAI,2011,22649,2,142000 km
H1,HYUNDAI,2011,16590,2.5,42415 km
Camry,TOYOTA,2014,31988,2.5,51000 km
Lacetti,DAEWOO,2009,8624,2,19999 km
Camry,TOYOTA,2015,21012,2.5,89000 km
FIT,HONDA,2014,10663,1.5,114000 km
E 350,MERCEDES-BENZ,2014,220,3.5,95987 km
GTI,VOLKSWAGEN,2006,13485,2.0 Turbo,161000 km
Colt,MITSUBISHI,2003,5331,1.3,241589 km
Zafira,OPEL,2000,7370,1.8,260000 km
Transit,FORD,2003,11900,2.0 Turbo,195000 km
Jetta,VOLKSWAGEN,2015,17249,1.8 Turbo,55000 km
Pajero Mini,MITSUBISHI,2006,4391,0.7,314000 km
C-MAX,FORD,2013,17876,2,120000 km
FIT,HONDA,2010,11604,1.3,157000 km
750,BMW,2005,13799,4.8,240000 km
RAV 4 s p o r t,TOYOTA,2017,40769,2.5,76000 km
RX 400,LEXUS,2008,7997,3.5,244731 km
E 250,MERCEDES-BENZ,1995,7840,2.5,410918 km
Jetta,VOLKSWAGEN,2011,14113,2.5,156800 km
FIT,HONDA,2011,11917,1.3,188000 km
Sonata,HYUNDAI,2013,12777,2,162558 km
Prius C,TOYOTA,2013,18817,1.5,130000 km
Camry,TOYOTA,2012,23521,2.5,83000 km
Q5,AUDI,2010,22580,3.2,150400 km
RX 450,LEXUS,2016,392,3.5,27038 km
Prius,TOYOTA,2011,12544,1.8,284678 km
Cruze,CHEVROLET,2014,9722,1.4 Turbo,121000 km
Sonata,HYUNDAI,2011,3450,2.4,224349 km
Prius,TOYOTA,2014,1882,1.8,263392 km
Transit,FORD,2007,15991,2.2 Turbo,280000 km
Camry,TOYOTA,2014,11133,2.5,179381 km
Elantra,HYUNDAI,2017,94,2,284251 km
E 350,MERCEDES-BENZ,2012,34184,3.5,133000 km
Cruze,CHEVROLET,2018,21169,1.4 Turbo,25304 km
Captiva,CHEVROLET,2008,7495,2,71486 km
CT 200h,LEXUS,2011,4861,1.8,95590 km
Sonata,HYUNDAI,2015,13485,2,72369 km
GX 460,LEXUS,2016,81539,4.6,155976 km
Elantra,HYUNDAI,2012,20005,1.6,147718 km
Outback,SUBARU,2003,3000,2.5,1000 km
Camry,TOYOTA,2007,11917,2.4,200000 km
GLC 300,MERCEDES-BENZ,2018,84675,2.0 Turbo,4500 km
E 200,MERCEDES-BENZ,1998,7840,2,180003 km
CT 200h,LEXUS,2012,627,1.8,192683 km
Lacetti,CHEVROLET,2010,12570,1.8,152293 km
Navigator,LINCOLN,2004,17249,5.4,464000 km
325,BMW,1988,2800,2.4,455680 km
C 180,MERCEDES-BENZ,1997,6899,1.8,0 km
Aqua,TOYOTA,2015,14009,1.5,137350 km
GX 470,LEXUS,2011,392,4.6,202048 km
GLA 250,MERCEDES-BENZ,2016,8311,2,109555 km
Corolla,TOYOTA,2014,23521,1.8,40000 km
Fusion Titanium,FORD,2016,25716,2.0 Turbo,65000 km
Elantra,HYUNDAI,2017,21730,1.6,32510 km
H1,HYUNDAI,2019,80911,2.5,25541 km
Genesis,HYUNDAI,2011,19369,2,153651 km
Jimny,SUZUKI,2000,12544,1.3,125000 km
Tucson,HYUNDAI,2012,25299,2,160000 km
Cruze,CHEVROLET,2018,7213,1.6,28515 km
Aveo,CHEVROLET,2012,6899,1.6,94923 km
X6,BMW,2011,8154,4.4,147677 km
Prius,TOYOTA,2011,18817,1.8,160000 km
Tucson,HYUNDAI,2019,61499,2,1217 km
Prius,TOYOTA,2010,17249,1.8,256000 km
Aqua S,TOYOTA,2013,9879,1.5,137000 km
1111,VAZ,1988,4000,1.3,1000 km
Prius,TOYOTA,2011,17249,1.8,141000 km
Sonata,HYUNDAI,2017,51225,2,58414 km
Santa FE,HYUNDAI,2015,49798,2,93555 km
Elantra,HYUNDAI,2013,17249,1.8,64800 km
Escape,FORD,2014,29166,2.0 Turbo,127000 km
GLA 250,MERCEDES-BENZ,2015,188,2,69555 km
NX 200,LEXUS,2017,79971,2.0 Turbo,35000 km
Astra,OPEL,2006,11604,1.3 Turbo,27000 km
32214,GAZ,1977,15681,2.4,11111 km
Laguna,RENAULT,1995,2500,2,32000 km
Optima,KIA,2013,392,2.4,0 km
Elantra,HYUNDAI,2018,627,2,47294 km
Insight,HONDA,2014,2274,1.3,149970 km
Jetta,VOLKSWAGEN,2015,19444,1.8 Turbo,102400 km
GLE 350,MERCEDES-BENZ,2017,43592,3.5,39814 km
Prius,TOYOTA,2009,15367,1.8,174000 km
Highlander,TOYOTA,2013,4861,3.5,125605 km
Shuttle,HONDA,2013,14113,1.3,150000 km
Orlando,CHEVROLET,2012,13564,2,228570 km
C-MAX,FORD,2012,17876,2,128205 km
C 240,MERCEDES-BENZ,2002,10349,2.4,2000 km
Legacy,SUBARU,2008,15000,3,138000 km
E 320,MERCEDES-BENZ,2004,12544,3.2,205500 km
318,BMW,1996,5600,1.8,1000 km
X5,BMW,2012,14583,3,229966 km
H1,HYUNDAI,2017,36827,2.5,137000 km
Highlander,TOYOTA,2011,21639,3.5,368064 km
Prius,TOYOTA,2005,9,1.6,18000 km
Elgrand,NISSAN,2003,14113,3.5,155000 km
Actyon,SSANGYONG,2016,40340,1.6,59272 km
FIT,HONDA,2012,10976,1.5,216000 km
C 300,MERCEDES-BENZ,2012,25089,3,86000 km
Land Cruiser Prado,TOYOTA,2019,300,2.7,120 km
Santa FE,HYUNDAI,2011,18688,2,143166 km
GX 470,LEXUS,2015,69935,4.6,273493 km
Elantra,HYUNDAI,2015,28830,1.6,68243 km
GX 470,LEXUS,2006,42337,4.7,180000 km
Transit,FORD,2012,23834,2.2 Turbo,141000 km
E 350,MERCEDES-BENZ,2011,16621,3.5,119379 km
E 300,MERCEDES-BENZ,2017,314,2,26802 km
C-MAX,FORD,2014,16000,2,272000 km
Elantra,HYUNDAI,2013,11917,1.6,31691 km
328 Xdrive,BMW,2011,13485,3,120000 km
GX 470,LEXUS,2008,862,4.7,263190 km
Camry,TOYOTA,2014,15994,2.5,1440000 km
E 240,MERCEDES-BENZ,1998,5175,2.4,0 km
Taurus,FORD,2014,15367,3.7,290000 km
Veloster,HYUNDAI,2011,15994,1.6,73600 km
Orlando,CHEVROLET,2012,11917,2,79749 km
Camry,TOYOTA,2018,18817,2.5,35058 km
Equinox,CHEVROLET,2014,1568,2.4,251514 km
Sonata,HYUNDAI,2013,21953,2.4 Turbo,20000 km
Sonata,HYUNDAI,2016,13808,2,38206 km
CX-7,MAZDA,2011,392,2.5,183728 km
Prius,TOYOTA,2012,16151,1.8,110990 km
Twingo,RENAULT,2001,3300,1.2,777 km
Tucson,HYUNDAI,2010,22947,2,171344 km
535 M PAKET,BMW,2012,40769,3,58450 km
CT 200h,LEXUS,2013,7840,1.8,65989 km
Pajero,MITSUBISHI,1993,9408,3,430000 km
Camry,TOYOTA,2014,25089,2.5,125000 km
GX 470,LEXUS,2008,282,4.7,218126 km
S 500 long,MERCEDES-BENZ,1997,10976,5,167000 km
Camry,TOYOTA,2014,5488,2.5,109798 km
318,BMW,1997,5000,1.8,545654 km
Vitz,TOYOTA,2012,9722,1.3,130000 km
Genesis,HYUNDAI,2010,16621,3.8,151977 km
RX 450,LEXUS,2015,13956,3.5,143619 km
Sonata,HYUNDAI,2015,9418,2,676825 km
Korando,SSANGYONG,2012,24415,2,135490 km
520,BMW,1989,3763,2,199000 km
